Location,species,Year,JulianDay
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,140
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1980,140
,Ceiba pubiflora,1980,149
,Ceiba pubiflora,1980,135
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,171
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,171
,Ceiba pubiflora,1979,188
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,201
,Ceiba pubiflora,1979,194
,Ceiba pubiflora,1978,121
,Ceiba pubiflora,1977,148
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,176
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,176
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1976,101
,Ceiba pubiflora,1973,98
,Ceiba pubiflora,1973,98
,Ceiba pubiflora,1973,113
,Ceiba pubiflora,1972,172
,Ceiba pubiflora,1972,172
,Ceiba pubiflora,1968,158
,Ceiba pubiflora,1968,157
,Ceiba pubiflora,1967,153
,Ceiba pubiflora,1967,153
,Ceiba pubiflora,1967,142
,Ceiba pubiflora,1966,102
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,127
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1966,179
,Ceiba pubiflora,1964,177
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,117
,Ceiba pubiflora,1963,112
,Ceiba pubiflora,1963,130
,Ceiba pubiflora,1963,188
,Ceiba pubiflora,1961,122
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1956,175
,Ceiba pubiflora,1955,118
,Ceiba pubiflora,1947,105
,Ceiba pubiflora,1947,105
,Ceiba pubiflora,1945,138
,Ceiba pubiflora,1939,126
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,126
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1939,160
,Ceiba pubiflora,1939,160
,Ceiba pubiflora,1939,138
,Ceiba pubiflora,1934,136
,Ceiba pubiflora,1934,136
,Ceiba pubiflora,1932,176
,Ceiba pubiflora,1932,176
,Ceiba pubiflora,1913,121
,Ceiba pubiflora,1913,121
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1902,182
,Ceiba pubiflora,1885,152
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
,Ceiba pubiflora,1874,135
